time,cumulativeEmpty,cumulativeBatchingIdleReward,batchingIdleTime,batchingIdleFraction
103.6,7.05,77.4,38.7,0.3735521235521235521235521235521236
103.7,7.05,77.4,38.7,0.3731918997107039537126325940212150
103.8,7.05,77.4,38.7,0.3728323699421965317919075144508671
103.9,7.05,77.4,38.7,0.3724735322425409047160731472569779
104.0,7.05,77.4,38.7,0.3721153846153846153846153846153846
104.1,7.05,77.4,38.7,0.3717579250720461095100864553314121
104.2,7.05,77.4,38.7,0.3714011516314779270633397312859885
104.3,7.05,77.4,38.7,0.3710450623202301054650047938638543
104.4,7.05,77.4,38.7,0.3706896551724137931034482758620690
104.5,7.05,77.4,38.7,0.3703349282296650717703349282296651
104.6,7.05,77.4,38.7,0.3699808795411089866156787762906310
104.7,7.05,77.4,38.7,0.3696275071633237822349570200573066
104.8,7.05,77.4,38.7,0.3692748091603053435114503816793893
104.9,7.05,77.4,38.7,0.3689227836034318398474737845567207
105.0,7.05,77.4,38.7,0.3685714285714285714285714285714286
105.1,7.05,77.4,38.7,0.3682207421503330161750713606089439
105.2,7.05,77.4,38.7,0.3678707224334600760456273764258555
105.3,7.05,77.4,38.7,0.3675213675213675213675213675213675
105.4,7.05,77.4,38.7,0.3671726755218216318785578747628083
105.5,7.05,77.4,38.7,0.3668246445497630331753554502369668
105.6,7.05,77.4,38.7,0.3664772727272727272727272727272727
105.7,7.05,77.4,38.7,0.3661305581835383159886471144749290
105.8,7.05,77.4,38.7,0.3657844990548204158790170132325142
105.9,7.05,77.4,38.7,0.3654390934844192634560906515580737
106.0,7.05,77.4,38.7,0.3650943396226415094339622641509434
106.1,7.05,77.4,38.7,0.3647502356267672007540056550424128
106.2,7.05,77.4,38.7,0.3644067796610169491525423728813559
106.3,7.05,77.4,38.7,0.3640639698965192850423330197554092
106.4,7.05,77.4,38.7,0.3637218045112781954887218045112782
106.5,7.05,77.4,38.7,0.3633802816901408450704225352112676
106.6,7.05,77.4,38.7,0.3630393996247654784240150093808630
106.7,7.05,77.4,38.7,0.3626991565135895032802249297094658
106.8,7.05,77.4,38.7,0.3623595505617977528089887640449438
106.9,7.05,77.4,38.7,0.3620205799812909260991580916744621
107.0,7.05,77.4,38.7,0.3616822429906542056074766355140187
107.1,7.05,77.4,38.7,0.3613445378151260504201680672268908
107.2,7.05,77.4,38.7,0.3610074626865671641791044776119403
107.3,7.05,77.4,38.7,0.3606710158434296365330848089468779
107.4,7.05,77.4,38.7,0.3603351955307262569832402234636872
107.5,7.05,77.4,38.7,0.36
107.6,7.05,77.4,38.7,0.3596654275092936802973977695167286
107.7,7.05,77.4,38.7,0.3593314763231197771587743732590529
107.8,7.10,77.4,38.7,0.3589981447124304267161410018552876
107.9,7.20,77.4,38.7,0.3586654309545875810936051899907322
108.0,7.30,77.4,38.7,0.3583333333333333333333333333333333
108.1,7.40,77.4,38.7,0.3580018501387604070305272895467160
108.2,7.50,77.4,38.7,0.3576709796672828096118299445471349
108.3,7.60,77.4,38.7,0.3573407202216066481994459833795014
108.4,7.70,77.4,38.7,0.3570110701107011070110701107011070
108.5,7.80,77.4,38.7,0.3566820276497695852534562211981567
108.6,7.90,77.4,38.7,0.3563535911602209944751381215469613
108.7,8.00,77.4,38.7,0.3560257589696412143514259429622815
108.8,8.10,77.4,38.7,0.3556985294117647058823529411764706
108.9,8.20,77.4,38.7,0.3553719008264462809917355371900826
109.0,8.30,77.4,38.7,0.3550458715596330275229357798165138
109.1,8.40,77.4,38.7,0.3547204399633363886342804766269478
109.2,8.50,77.4,38.7,0.3543956043956043956043956043956044
109.3,8.60,77.4,38.7,0.3540713632204940530649588289112534
109.4,8.70,77.4,38.7,0.3537477148080438756855575868372943
109.5,8.80,77.4,38.7,0.3534246575342465753424657534246575
109.6,8.90,77.4,38.7,0.3531021897810218978102189781021898
109.7,9.00,77.4,38.7,0.3527803099361896080218778486782133
109.8,9.10,77.4,38.7,0.3524590163934426229508196721311475
109.9,9.20,77.4,38.7,0.3521383075523202911737943585077343
110.0,9.30,77.4,38.7,0.3518181818181818181818181818181818
110.1,9.40,77.4,38.7,0.3514986376021798365122615803814714
110.2,9.50,77.4,38.7,0.3511796733212341197822141560798548
110.3,9.60,77.4,38.7,0.3508612873980054397098821396192203
110.4,9.70,77.4,38.7,0.3505434782608695652173913043478261
110.5,9.80,77.4,38.7,0.3502262443438914027149321266968326
110.6,9.90,77.4,38.7,0.3499095840867992766726943942133816
110.7,10.00,77.4,38.7,0.3495934959349593495934959349593496
110.8,10.10,77.4,38.7,0.3492779783393501805054151624548736
110.9,10.20,77.4,38.7,0.3489630297565374211000901713255185
111.0,10.30,77.4,38.7,0.3486486486486486486486486486486486
111.1,10.40,77.4,38.7,0.3483348334833483348334833483348335
111.2,10.50,77.4,38.7,0.3480215827338129496402877697841727
111.3,10.60,77.4,38.7,0.3477088948787061994609164420485175
111.4,10.70,77.4,38.7,0.3473967684021543985637342908438061
111.5,10.80,77.4,38.7,0.3470852017937219730941704035874439
111.6,10.90,77.4,38.7,0.3467741935483870967741935483870968
111.7,10.95,77.4,38.7,0.3464637421665174574753804834377798
111.8,10.95,77.4,38.7,0.3461538461538461538461538461538462
111.9,10.95,77.4,38.7,0.3458445040214477211796246648793566
112.0,10.95,77.4,38.7,0.3455357142857142857142857142857143
112.1,10.95,77.4,38.7,0.3452274754683318465655664585191793
112.2,10.95,77.4,38.7,0.3449197860962566844919786096256684
112.3,10.95,77.4,38.7,0.3446126447016918967052537845057881
112.4,10.95,77.4,38.7,0.3443060498220640569395017793594306
112.5,10.95,77.4,38.7,0.344
112.6,10.95,77.4,38.7,0.3436944937833037300177619893428064
112.7,10.95,77.4,38.7,0.3433895297249334516415261756876664
112.8,10.95,77.4,38.7,0.3430851063829787234042553191489362
112.9,10.95,77.4,38.7,0.3427812223206377325066430469441984
113.0,10.95,77.4,38.7,0.3424778761061946902654867256637168
113.1,10.95,77.4,38.7,0.3421750663129973474801061007957560
113.2,10.95,77.4,38.7,0.3418727915194346289752650176678445
113.3,10.95,77.4,38.7,0.3415710503089143865842894969108561
113.4,10.95,77.4,38.7,0.3412698412698412698412698412698413
113.5,10.95,77.4,38.7,0.3409691629955947136563876651982379
113.6,10.95,77.4,38.7,0.3406690140845070422535211267605634
113.7,10.95,77.4,38.7,0.3403693931398416886543535620052770
113.8,10.95,77.4,38.7,0.3400702987697715289982425307557118
113.9,10.95,77.4,38.7,0.3397717295873573309920983318700615
114.0,10.95,77.4,38.7,0.3394736842105263157894736842105263
114.1,10.95,77.4,38.7,0.3391761612620508326029798422436459
114.2,10.95,77.4,38.7,0.3388791593695271453590192644483363
114.3,10.95,77.4,38.7,0.3385826771653543307086614173228346
114.4,10.95,77.4,38.7,0.3382867132867132867132867132867133
114.5,10.95,77.4,38.7,0.3379912663755458515283842794759825
114.6,10.95,77.4,38.7,0.3376963350785340314136125654450262
114.7,10.95,77.4,38.7,0.3374019180470793374019180470793374
114.8,10.95,77.4,38.7,0.3371080139372822299651567944250871
114.9,10.95,77.4,38.7,0.3368146214099216710182767624020888
115.0,10.95,77.4,38.7,0.3365217391304347826086956521739130
115.1,10.95,77.4,38.7,0.3362293657688966116420503909643788
115.2,10.95,77.4,38.7,0.3359375
115.3,10.95,77.4,38.7,0.3356461405030355594102341717259324
115.4,10.95,77.4,38.7,0.3353552859618717504332755632582322
115.5,10.95,77.4,38.7,0.3350649350649350649350649350649351
115.6,10.95,77.4,38.7,0.3347750865051903114186851211072664
115.7,10.95,77.4,38.7,0.3344857389801210025929127052722558
115.8,10.95,77.4,38.7,0.3341968911917098445595854922279793
115.9,10.95,77.4,38.7,0.3339085418464193270060396893874029
116.0,10.95,77.4,38.7,0.3336206896551724137931034482758621
116.1,10.95,77.4,38.7,0.3333333333333333333333333333333333
116.2,10.95,77.4,38.7,0.3330464716006884681583476764199656
116.3,10.95,77.4,38.7,0.3327601031814273430782459157351677
116.4,10.95,77.4,38.7,0.3324742268041237113402061855670103
116.5,10.95,77.4,38.7,0.3321888412017167381974248927038627
116.6,10.95,77.4,38.7,0.3319039451114922813036020583190395
116.7,10.95,77.4,38.7,0.3316195372750642673521850899742931
116.8,10.95,77.4,38.7,0.3313356164383561643835616438356164
116.9,10.95,77.4,38.7,0.3310521813515825491873396065012831
117.0,10.95,77.4,38.7,0.3307692307692307692307692307692308
117.1,10.95,77.4,38.7,0.3304867634500426985482493595217763
117.2,10.95,77.4,38.7,0.3302047781569965870307167235494881
117.3,10.95,77.4,38.7,0.3299232736572890025575447570332481
117.4,10.95,77.4,38.7,0.3296422487223168654173764906303237
117.5,10.95,77.4,38.7,0.3293617021276595744680851063829787
117.6,10.95,77.4,38.7,0.3290816326530612244897959183673469
117.7,10.95,77.4,38.7,0.3288020390824129141886151231945624
117.8,10.95,77.4,38.7,0.3285229202037351443123938879456706
117.9,10.95,77.4,38.7,0.3282442748091603053435114503816794
118.0,10.95,77.4,38.7,0.3279661016949152542372881355932203
118.1,10.95,77.4,38.7,0.3276883996613039796782387806943268
118.2,10.95,77.4,38.7,0.3274111675126903553299492385786802
118.3,10.95,77.4,38.7,0.3271344040574809805579036348267117
118.4,10.95,77.4,38.7,0.3268581081081081081081081081081081
118.5,10.95,77.4,38.7,0.3265822784810126582278481012658228
118.6,10.95,77.4,38.7,0.3263069139966273187183811129848229
118.7,10.95,77.4,38.7,0.3260320134793597304128053917438922
118.8,10.95,77.4,38.7,0.3257575757575757575757575757575758
118.9,10.95,77.4,38.7,0.3254835996635828427249789739276703
119.0,10.95,77.4,38.7,0.3252100840336134453781512605042017
119.1,10.95,77.4,38.7,0.3249370277078085642317380352644836
119.2,10.95,77.4,38.7,0.3246644295302013422818791946308725
119.3,10.95,77.4,38.7,0.3243922883487007544006705783738474
119.4,10.95,77.4,38.7,0.3241206030150753768844221105527638
119.5,10.95,77.4,38.7,0.3238493723849372384937238493723849
119.6,10.95,77.4,38.7,0.3235785953177257525083612040133779
119.7,10.95,77.4,38.7,0.3233082706766917293233082706766917
119.8,10.95,77.4,38.7,0.3230383973288814691151919866444073
119.9,10.95,77.4,38.7,0.3227689741451209341117597998331943
120.0,10.95,77.4,38.7,0.3225
120.1,10.95,77.4,38.7,0.3222314737718567860116569525395504
120.2,10.95,77.4,38.7,0.3219633943427620632279534109816972
120.3,10.95,77.4,38.7,0.3216957605985037406483790523690773
120.4,10.95,77.4,38.7,0.3214285714285714285714285714285714
120.5,10.95,77.4,38.7,0.3211618257261410788381742738589212
120.6,10.95,77.4,38.7,0.3208955223880597014925373134328358
120.7,10.95,77.4,38.7,0.3206296603148301574150787075393538
120.8,10.95,77.4,38.7,0.3203642384105960264900662251655629
120.9,10.95,77.4,38.7,0.3200992555831265508684863523573201
121.0,10.95,77.4,38.7,0.3198347107438016528925619834710744
121.1,10.95,77.4,38.7,0.3195706028075970272502064409578860
121.2,10.95,77.4,38.7,0.3193069306930693069306930693069307
121.3,10.95,77.4,38.7,0.3190436933223413025556471558120363
121.4,10.95,77.4,38.7,0.3187808896210873146622734761120264
